Sales_ID,Sales_Date,Region,Product_Category,Product_Type,Units_Sold,Unit_Price_USD,Total_Sales_USD
177,2023-06-26,Europe,Footwear,Shorts,11,219.17,2410.87
178,2023-06-27,Latin America,Apparel,Running Shoes,5,246.55,1232.75
179,2023-06-28,India,Equipment,Jackets,11,136.79,1504.69
180,2023-06-29,Asia-Pacific,Footwear,T-Shirts,6,115.72,694.32
181,2023-06-30,Latin America,Equipment,Running Shoes,6,202.78,1216.68
182,2023-07-01,Europe,Apparel,Shorts,4,62.86,251.44
183,2023-07-02,North America,Apparel,Bags,13,40.82,530.66
184,2023-07-03,Asia-Pacific,Equipment,Basketball Shoes,4,186.15,744.6
185,2023-07-04,Latin America,Apparel,Bags,16,147.95,2367.2
186,2023-07-05,North America,Footwear,Shorts,1,167.18,167.18
187,2023-07-06,North America,Apparel,Training Shoes,7,31.49,220.43
188,2023-07-07,Latin America,Footwear,Shorts,2,219.27,438.54
189,2023-07-08,Europe,Apparel,Basketball Shoes,15,175.19,2627.85
190,2023-07-09,North America,Equipment,Bags,17,50.22,853.74
191,2023-07-10,Asia-Pacific,Apparel,Bags,2,173.72,347.44
192,2023-07-11,North America,Equipment,T-Shirts,4,245.51,982.04
193,2023-07-12,India,Apparel,T-Shirts,11,82.89,911.79
194,2023-07-13,North America,Apparel,Shorts,13,237.36,3085.68
195,2023-07-14,Europe,Footwear,Running Shoes,2,240.96,481.92
196,2023-07-15,India,Apparel,T-Shirts,11,214.35,2357.85
197,2023-07-16,Asia-Pacific,Equipment,Bags,5,134.96,674.8
198,2023-07-17,North America,Equipment,Basketball Shoes,4,125.39,501.56
199,2023-07-18,North America,Apparel,Shorts,11,106.43,1170.73
200,2023-07-19,Latin America,Footwear,Shorts,6,201.83,1210.98
201,2023-07-20,Latin America,Footwear,Bags,16,58.95,943.2
202,2023-07-21,India,Footwear,Bags,8,144.93,1159.44
203,2023-07-22,Europe,Equipment,Running Shoes,11,147.98,1627.78
204,2023-07-23,Asia-Pacific,Footwear,Running Shoes,2,234.52,469.04
205,2023-07-24,Latin America,Footwear,Jackets,16,229.43,3670.88
206,2023-07-25,North America,Footwear,Bags,15,133.6,2004.0
207,2023-07-26,Latin America,Footwear,Running Shoes,4,159.58,638.32
208,2023-07-27,Asia-Pacific,Equipment,Jackets,18,184.05,3312.9
209,2023-07-28,Asia-Pacific,Equipment,Shorts,5,147.23,736.15
210,2023-07-29,North America,Equipment,Bags,1,88.76,88.76
211,2023-07-30,India,Footwear,Jackets,7,60.79,425.53
212,2023-07-31,Europe,Equipment,Running Shoes,1,151.63,151.63
213,2023-08-01,North America,Equipment,Shorts,4,123.29,493.16
214,2023-08-02,India,Footwear,Shorts,18,85.83,1544.94
215,2023-08-03,Europe,Apparel,Basketball Shoes,5,102.53,512.65
216,2023-08-04,Asia-Pacific,Equipment,Training Shoes,7,34.55,241.85
217,2023-08-05,North America,Apparel,Shorts,11,149.89,1648.79
218,2023-08-06,Europe,Footwear,Training Shoes,4,42.16,168.64
219,2023-08-07,India,Equipment,Basketball Shoes,7,48.95,342.65
220,2023-08-08,India,Apparel,Shorts,3,198.72,596.16
221,2023-08-09,Latin America,Apparel,Training Shoes,4,49.45,197.8
222,2023-08-10,India,Footwear,Shorts,8,182.17,1457.36
223,2023-08-11,Europe,Apparel,Shorts,14,135.15,1892.1
224,2023-08-12,Latin America,Apparel,T-Shirts,8,79.72,637.76
225,2023-08-13,India,Apparel,Bags,8,153.45,1227.6
226,2023-08-14,Latin America,Apparel,Training Shoes,3,142.46,427.38
227,2023-08-15,North America,Apparel,Shorts,3,229.86,689.58
228,2023-08-16,Europe,Footwear,T-Shirts,19,242.01,4598.19
229,2023-08-17,Asia-Pacific,Equipment,T-Shirts,3,129.62,388.86
230,2023-08-18,Asia-Pacific,Equipment,T-Shirts,14,107.06,1498.84
231,2023-08-19,North America,Equipment,Running Shoes,13,156.9,2039.7
232,2023-08-20,Latin America,Apparel,Training Shoes,6,50.26,301.56
233,2023-08-21,India,Footwear,T-Shirts,3,143.75,431.25
234,2023-08-22,Europe,Equipment,Bags,13,47.51,617.63
235,2023-08-23,North America,Equipment,Jackets,1,86.92,86.92
236,2023-08-24,Latin America,Footwear,Training Shoes,9,195.57,1760.13
237,2023-08-25,Europe,Apparel,Shorts,9,198.33,1784.97
238,2023-08-26,North America,Footwear,T-Shirts,18,132.35,2382.3
239,2023-08-27,Asia-Pacific,Apparel,Basketball Shoes,2,241.86,483.72
240,2023-08-28,Latin America,Footwear,T-Shirts,15,59.14,887.1
241,2023-08-29,Latin America,Apparel,Basketball Shoes,9,95.36,858.24
242,2023-08-30,Latin America,Equipment,Running Shoes,15,158.31,2374.65
243,2023-08-31,Latin America,Apparel,Basketball Shoes,17,125.32,2130.44
244,2023-09-01,India,Footwear,Training Shoes,16,170.87,2733.92
245,2023-09-02,Europe,Footwear,Bags,14,44.93,629.02
246,2023-09-03,Asia-Pacific,Apparel,Running Shoes,14,186.82,2615.48
247,2023-09-04,North America,Equipment,Running Shoes,19,61.65,1171.35
248,2023-09-05,Asia-Pacific,Apparel,Bags,9,85.83,772.47
249,2023-09-06,Europe,Equipment,Shorts,11,65.41,719.51
250,2023-09-07,Asia-Pacific,Equipment,Training Shoes,3,187.09,561.27
251,2023-09-08,North America,Equipment,Training Shoes,18,33.94,610.92
252,2023-09-09,Asia-Pacific,Footwear,T-Shirts,1,244.84,244.84
253,2023-09-10,Latin America,Equipment,T-Shirts,5,109.04,545.2
254,2023-09-11,Asia-Pacific,Equipment,Jackets,9,77.35,696.15
255,2023-09-12,Latin America,Equipment,Basketball Shoes,15,98.41,1476.15
256,2023-09-13,North America,Footwear,Jackets,12,136.53,1638.36
257,2023-09-14,India,Footwear,Basketball Shoes,7,76.78,537.46
258,2023-09-15,India,Apparel,Bags,11,196.4,2160.4
259,2023-09-16,North America,Equipment,Running Shoes,19,194.95,3704.05
260,2023-09-17,Latin America,Footwear,Running Shoes,15,166.55,2498.25
261,2023-09-18,North America,Footwear,Shorts,17,228.87,3890.79
262,2023-09-19,Europe,Equipment,T-Shirts,2,187.5,375.0
263,2023-09-20,Latin America,Footwear,T-Shirts,18,61.09,1099.62
264,2023-09-21,Asia-Pacific,Footwear,Basketball Shoes,10,84.5,845.0
265,2023-09-22,Europe,Footwear,Bags,9,132.22,1189.98
266,2023-09-23,Europe,Equipment,Training Shoes,9,94.6,851.4
267,2023-09-24,India,Equipment,Jackets,13,114.16,1484.08
268,2023-09-25,Latin America,Apparel,T-Shirts,5,131.77,658.85
269,2023-09-26,North America,Footwear,Jackets,2,201.34,402.68
270,2023-09-27,India,Equipment,Jackets,3,147.35,442.05
271,2023-09-28,Latin America,Equipment,T-Shirts,6,213.49,1280.94
272,2023-09-29,North America,Apparel,Jackets,3,161.8,485.4
273,2023-09-30,Latin America,Equipment,Training Shoes,7,26.68,186.76
274,2023-10-01,Europe,Equipment,Running Shoes,11,247.23,2719.53
275,2023-10-02,Asia-Pacific,Footwear,Running Shoes,7,58.04,406.28
276,2023-10-03,India,Footwear,Running Shoes,15,114.01,1710.15
277,2023-10-04,India,Equipment,Shorts,11,29.36,322.96
278,2023-10-05,Latin America,Apparel,Shorts,14,143.12,2003.68
279,2023-10-06,North America,Equipment,Running Shoes,15,177.49,2662.35
280,2023-10-07,India,Apparel,Training Shoes,11,89.77,987.47
281,2023-10-08,India,Apparel,T-Shirts,9,233.9,2105.1
282,2023-10-09,Asia-Pacific,Equipment,Jackets,4,58.74,234.96
283,2023-10-10,India,Equipment,Training Shoes,11,238.43,2622.73
284,2023-10-11,Europe,Equipment,Training Shoes,9,201.9,1817.1
285,2023-10-12,Europe,Equipment,Bags,13,59.24,770.12
286,2023-10-13,North America,Footwear,T-Shirts,14,48.17,674.38
287,2023-10-14,Latin America,Footwear,T-Shirts,19,39.88,757.72
288,2023-10-15,Asia-Pacific,Footwear,Shorts,16,155.05,2480.8
289,2023-10-16,Asia-Pacific,Apparel,Running Shoes,12,81.45,977.4
290,2023-10-17,India,Equipment,Shorts,11,243.51,2678.61
291,2023-10-18,India,Equipment,Training Shoes,7,50.96,356.72
292,2023-10-19,Europe,Footwear,Shorts,19,206.73,3927.87
293,2023-10-20,Asia-Pacific,Equipment,Shorts,3,109.5,328.5
294,2023-10-21,North America,Apparel,T-Shirts,18,28.25,508.5
295,2023-10-22,North America,Equipment,Shorts,4,190.61,762.44
296,2023-10-23,North America,Apparel,Running Shoes,10,157.18,1571.8
297,2023-10-24,Latin America,Equipment,Basketball Shoes,4,76.67,306.68
298,2023-10-25,Europe,Equipment,Running Shoes,5,104.99,524.95
299,2023-10-26,Asia-Pacific,Apparel,Jackets,5,58.76,293.8
300,2023-10-27,India,Footwear,Running Shoes,10,55.3,553.0
301,2023-10-28,Latin America,Apparel,Jackets,18,153.13,2756.34
302,2023-10-29,North America,Apparel,Jackets,12,146.38,1756.56
303,2023-10-30,Asia-Pacific,Apparel,Training Shoes,10,70.73,707.3
304,2023-10-31,Europe,Footwear,Jackets,19,91.91,1746.29
305,2023-11-01,India,Equipment,Basketball Shoes,15,249.06,3735.9
306,2023-11-02,Europe,Footwear,Bags,16,104.44,1671.04
307,2023-11-03,North America,Equipment,Bags,8,134.68,1077.44
308,2023-11-04,Europe,Apparel,T-Shirts,13,60.86,791.18
309,2023-11-05,India,Apparel,Shorts,13,30.53,396.89
310,2023-11-06,India,Apparel,Bags,2,162.73,325.46
311,2023-11-07,India,Footwear,T-Shirts,5,79.26,396.3
312,2023-11-08,Asia-Pacific,Apparel,Shorts,15,192.21,2883.15
313,2023-11-09,Latin America,Apparel,Basketball Shoes,15,77.05,1155.75
314,2023-11-10,Asia-Pacific,Apparel,Bags,18,107.98,1943.64
315,2023-11-11,North America,Equipment,Basketball Shoes,9,170.68,1536.12
316,2023-11-12,Asia-Pacific,Apparel,Shorts,15,180.58,2708.7
317,2023-11-13,Latin America,Equipment,Running Shoes,12,102.38,1228.56
318,2023-11-14,Europe,Apparel,Basketball Shoes,9,188.58,1697.22
319,2023-11-15,North America,Apparel,Shorts,1,151.59,151.59
320,2023-11-16,Asia-Pacific,Footwear,Jackets,14,208.39,2917.46
321,2023-11-17,North America,Footwear,Bags,11,195.41,2149.51
322,2023-11-18,Asia-Pacific,Apparel,Basketball Shoes,18,209.86,3777.48
323,2023-11-19,Asia-Pacific,Equipment,Bags,12,84.49,1013.88
324,2023-11-20,Latin America,Equipment,Shorts,16,43.29,692.64
325,2023-11-21,India,Equipment,Shorts,15,25.63,384.45
326,2023-11-22,Europe,Apparel,Training Shoes,11,99.33,1092.63
327,2023-11-23,Latin America,Equipment,Shorts,15,118.13,1771.95
328,2023-11-24,Latin America,Footwear,Basketball Shoes,3,84.71,254.13
329,2023-11-25,Europe,Apparel,T-Shirts,2,61.03,122.06
330,2023-11-26,Europe,Equipment,Basketball Shoes,19,121.13,2301.47
331,2023-11-27,Europe,Equipment,Running Shoes,16,93.75,1500.0
332,2023-11-28,Latin America,Footwear,Basketball Shoes,14,32.2,450.8
333,2023-11-29,North America,Footwear,Bags,17,213.32,3626.44
334,2023-11-30,Latin America,Footwear,Jackets,14,141.94,1987.16
335,2023-12-01,Asia-Pacific,Apparel,Jackets,17,64.4,1094.8
336,2023-12-02,Latin America,Equipment,Jackets,16,99.26,1588.16
337,2023-12-03,India,Equipment,Basketball Shoes,13,154.61,2009.93
338,2023-12-04,India,Apparel,Basketball Shoes,13,46.81,608.53
339,2023-12-05,Asia-Pacific,Footwear,Bags,4,141.9,567.6
340,2023-12-06,Latin America,Footwear,Training Shoes,15,190.73,2860.95
341,2023-12-07,India,Apparel,T-Shirts,13,61.92,804.96
342,2023-12-08,Asia-Pacific,Apparel,Running Shoes,12,139.51,1674.12
343,2023-12-09,Latin America,Equipment,Shorts,19,226.67,4306.73
344,2023-12-10,Europe,Apparel,Running Shoes,7,183.31,1283.17
345,2023-12-11,North America,Footwear,Shorts,9,125.6,1130.4
346,2023-12-12,India,Equipment,Basketball Shoes,4,30.7,122.8
347,2023-12-13,Asia-Pacific,Apparel,Training Shoes,9,234.48,2110.32
348,2023-12-14,Asia-Pacific,Equipment,Training Shoes,1,245.89,245.89
349,2023-12-15,North America,Equipment,Shorts,9,201.39,1812.51
350,2023-12-16,Europe,Apparel,Training Shoes,4,76.59,306.36
351,2023-12-17,India,Apparel,Basketball Shoes,17,156.1,2653.7
352,2023-12-18,Asia-Pacific,Equipment,Running Shoes,2,205.88,411.76
353,2023-12-19,Asia-Pacific,Apparel,Training Shoes,5,144.55,722.75
354,2023-12-20,Asia-Pacific,Apparel,Shorts,9,243.27,2189.43
355,2023-12-21,Latin America,Apparel,Training Shoes,14,159.21,2228.94
356,2023-12-22,India,Equipment,Basketball Shoes,13,26.32,342.16
357,2023-12-23,Latin America,Footwear,Running Shoes,2,91.88,183.76
358,2023-12-24,North America,Footwear,T-Shirts,6,249.04,1494.24
359,2023-12-25,Asia-Pacific,Apparel,Shorts,14,245.69,3439.66
360,2023-12-26,Asia-Pacific,Footwear,T-Shirts,15,232.65,3489.75
361,2023-12-27,North America,Equipment,Jackets,1,71.26,71.26
362,2023-12-28,Asia-Pacific,Equipment,Running Shoes,1,82.18,82.18
363,2023-12-29,North America,Apparel,Training Shoes,13,161.17,2095.21
364,2023-12-30,Asia-Pacific,Equipment,Shorts,4,32.81,131.24
365,2023-12-31,North America,Apparel,Basketball Shoes,16,225.49,3607.84
366,2024-01-01,Latin America,Equipment,Jackets,10,135.21,1352.1
367,2024-01-02,North America,Apparel,T-Shirts,6,189.47,1136.82
368,2024-01-03,Latin America,Footwear,Running Shoes,18,163.03,2934.54
369,2024-01-04,Europe,Apparel,Basketball Shoes,1,106.2,106.2
370,2024-01-05,Latin America,Apparel,Training Shoes,12,228.16,2737.92
371,2024-01-06,Latin America,Footwear,Basketball Shoes,6,80.0,480.0
372,2024-01-07,Europe,Footwear,Training Shoes,5,140.26,701.3
373,2024-01-08,North America,Footwear,Jackets,1,119.66,119.66
374,2024-01-09,Europe,Footwear,T-Shirts,8,186.65,1493.2
375,2024-01-10,North America,Apparel,Training Shoes,8,184.15,1473.2
376,2024-01-11,Asia-Pacific,Equipment,Jackets,14,126.52,1771.28
377,2024-01-12,Asia-Pacific,Apparel,Basketball Shoes,2,99.36,198.72
378,2024-01-13,North America,Equipment,T-Shirts,15,71.93,1078.95
379,2024-01-14,Asia-Pacific,Equipment,Bags,7,35.53,248.71
380,2024-01-15,Latin America,Apparel,Running Shoes,1,124.02,124.02
381,2024-01-16,Latin America,Equipment,Shorts,1,25.62,25.62
382,2024-01-17,Europe,Footwear,Training Shoes,3,104.44,313.32
383,2024-01-18,Asia-Pacific,Footwear,Running Shoes,1,242.92,242.92
384,2024-01-19,North America,Equipment,Basketball Shoes,3,171.81,515.43
385,2024-01-20,North America,Equipment,T-Shirts,16,118.1,1889.6
386,2024-01-21,Asia-Pacific,Equipment,Basketball Shoes,6,237.5,1425.0
387,2024-01-22,India,Footwear,T-Shirts,19,248.91,4729.29
388,2024-01-23,Latin America,Footwear,Shorts,3,199.74,599.22
389,2024-01-24,Europe,Footwear,Training Shoes,4,93.45,373.8
390,2024-01-25,India,Apparel,Training Shoes,2,224.32,448.64
391,2024-01-26,North America,Equipment,Jackets,17,202.95,3450.15
392,2024-01-27,Latin America,Equipment,Training Shoes,4,171.1,684.4
